Title,address,Monthly Rent,URL
Beautiful 3BDRM Home with Wide Open Living Room & Lots of Windows,Buckman,$2500,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-3bdrm-home-with-wide/7099710591.html
Be the first to live in our new 3 bed apartments! *ONE MONTH FREE*,Portland,$1929,https://portland.craigslist.org/mlt/apa/d/portland-be-the-first-to-live-in-our/7099708424.html
Come In Today And Take A Tour Today !!,"600 SW 150th Ave, Beaverton OR 97006",$1500,https://portland.craigslist.org/wsc/apa/d/beaverton-come-in-today-and-take-tour/7084091508.html
SPECIAL YOU CAN'T MISS!! One Month Free,Beaverton,$1500,https://portland.craigslist.org/mlt/apa/d/beaverton-special-you-cant-miss-one/7097964364.html
"FREE RENT on Huge, beautiful 3 bedroom 2 bathroom w/ attached garage!",Portland,$2115,https://portland.craigslist.org/wsc/apa/d/portland-free-rent-on-huge-beautiful-3/7098670965.html
3 Bed / 2 Full Bath NE Bungalow,Portland,$2550,https://portland.craigslist.org/mlt/apa/d/portland-3-bed-2-full-bath-ne-bungalow/7099700859.html
"FREE RENT on Huge, beautiful 3 bedroom 2 bathroom w/ attached garage!",Portland,$2115,https://portland.craigslist.org/wsc/apa/d/portland-free-rent-on-huge-beautiful-3/7098726389.html
1 MONTH FREE - Bethany West! 3 BED 2 BATH!,Bethany/NW Portland,$2265,https://portland.craigslist.org/wsc/apa/d/portland-1-month-free-bethany-west-3/7082921250.html
"Renovated 3 bdrm with W/D, fireplace, and garage!",Vancouver,$1750,https://portland.craigslist.org/clk/apa/d/vancouver-renovated-3-bdrm-with-d/7088620488.html
"Ground level 3 bdrm flat with W/D, fireplace, and garage!",Vancouver,$1750,https://portland.craigslist.org/clk/apa/d/vancouver-ground-level-3-bdrm-flat-with/7087323106.html
"3 Bed 2 Bath Available! New Flooring, Paint a& Appliances! $500 Off!",Gresham,$1854,https://portland.craigslist.org/mlt/apa/d/gresham-3-bed-2-bath-available-new/7099695680.html
"~ Central AC~ Washer/Dryer~ 3rd floor, Corner unit!","Gladstone, OR",$1750,https://portland.craigslist.org/clc/apa/d/central-ac-washer-dryer-3rd-floor/7085856300.html
"Tax Time - Buy a Home for $5,000 Down! Brand New - In house financing",,$159900,https://salem.craigslist.org/apa/d/salem-tax-time-buy-home-for-5000-down/7090879086.html
CONVENIENT AND LUXURY LIVING,,$1525,https://salem.craigslist.org/apa/d/salem-convenient-and-luxury-living/7099814604.html
PRICE REDUCED!  New Manufactured Home,,$164900,https://salem.craigslist.org/apa/d/salem-price-reduced-new-manufactured/7098825799.html
@ OR 3 beds 1 bath @,,$1200,https://salem.craigslist.org/apa/d/salem-or-3-beds-1-bath/7099779927.html
"Great South, private setting, fenced garden, edible landscaping,garage",,$1495,https://salem.craigslist.org/apa/d/great-south-private-setting-fenced/7086663761.html
217 NW Sagan Loop,,$1695,https://salem.craigslist.org/apa/d/sheridan-217-nw-sagan-loop/7095874640.html
Love Where You Live - Stunning 3 Bedroom Home Now Available!,,$1570,https://corvallis.craigslist.org/apa/d/independence-love-where-you-live/7099802918.html
Love Where You Live - Stunning 3 Bedroom Home Now Available!,,$1570,https://corvallis.craigslist.org/apa/d/independence-love-where-you-live/7099794190.html
DOWNSTAIRS 3 bedroom 2 bath AVAILABLE 05/05/2020,,$1300,https://corvallis.craigslist.org/apa/d/albany-downstairs-3-bedroom-2-bath/7099770020.html
Available April 8th - 3 Bedroom 2 Bath,,$1480,https://corvallis.craigslist.org/apa/d/lebanon-available-april-8th-3-bedroom-2/7099722179.html
Available April 21st - Luxury Living,,$1480,https://corvallis.craigslist.org/apa/d/lebanon-available-april-21st-luxury/7099722427.html
Watch the River!  1053 Front Ave. NE,,$1995,https://corvallis.craigslist.org/apa/d/albany-watch-the-river-1053-front-ave-ne/7087158095.html
Virtual tours and online access available now! Call us for more info!,,$1515,https://eugene.craigslist.org/apa/d/springfield-virtual-tours-and-online/7099756981.html
Now Accepting Apps for 2020-2021 at Plentywood! - 560 E. 18th,,$1895,https://eugene.craigslist.org/apa/d/eugene-now-accepting-apps-for-at/7099754659.html
Pre-leasing for fall 2 story unit ON CAMPUS,,$1785,https://eugene.craigslist.org/apa/d/eugene-pre-leasing-for-fall-2-story/7094445093.html
AVAILABLE FOR FALL - 3 Bedroom Near Campus - 73 E 19th Ave #4,,$1625,https://eugene.craigslist.org/apa/d/eugene-available-for-fall-3-bedroom/7096007567.html
3 Bedroom Unit Near Campus! - 73 E 19th Ave #5,,$1625,https://eugene.craigslist.org/apa/d/eugene-3-bedroom-unit-near-campus-th/7096046260.html
Beautiful 10-plex close to Safeway and Café Yumm! - 73 E 19th #7,,$1625,https://eugene.craigslist.org/apa/d/eugene-beautiful-10-plex-close-to/7096341366.html
Now Accepting Apps for 2020-2021 at Plentywood! - 560 E. 18th,,$1895,https://eugene.craigslist.org/apa/d/eugene-now-accepting-apps-for-at/7099751228.html
"March and April, RENT FREE! Remarkable Value. Unbeatable Location.",,$2020,https://eugene.craigslist.org/apa/d/springfield-march-and-april-rent-free/7099732215.html
"Pet Friendly, Year Round Hot Tub, Fitness Center",,$1499,https://eugene.craigslist.org/apa/d/eugene-pet-friendly-year-round-hot-tub/7099734746.html
Click link below to view our 3 bedroom townhomes virtually!,,$1515,https://eugene.craigslist.org/apa/d/springfield-click-link-below-to-view/7099733839.html
Charming 3+bd/2bth Farm House with Modern Updates,,$2095,https://eugene.craigslist.org/apa/d/eugene-charming-3bd-2bth-farm-house/7088721496.html
3 BED 2 BATH PET FRIENDLY AVAILABLE 5/15,,$1650,https://eugene.craigslist.org/apa/d/eugene-3-bed-2-bath-pet-friendly/7099699558.html
NW home for rent,,$2250,https://bend.craigslist.org/apa/d/bend-nw-home-for-rent/7099831638.html
2118  NW Cedar Ave.,,$1750,https://bend.craigslist.org/apa/d/redmond-2118-nw-cedar-ave/7098430125.html
2202 NE Holliday Ave. #3,,$1400,https://bend.craigslist.org/apa/d/bend-2202-ne-holliday-ave-3/7096524993.html
2202 NE Holliday Ave #1,,$1400,https://bend.craigslist.org/apa/d/bend-2202-ne-holliday-ave-1/7096350677.html
2652 NE Cordata Place,,$1700,https://bend.craigslist.org/apa/d/bend-2652-ne-cordata-place/7087121652.html
Newly updated home in NE Bend (2769),,$1795,https://bend.craigslist.org/apa/d/bend-newly-updated-home-in-ne-bend-2769/7092315673.html
Single Level Home in Redmond! (694),,$1650,https://bend.craigslist.org/apa/d/redmond-single-level-home-in-redmond-694/7090226955.html
"Beautiful NE Bend Home, Close to Hospital & Shopping",,$2295,https://bend.craigslist.org/apa/d/bend-beautiful-ne-bend-home-close-to/7099783254.html
"Spacious, Well maintained 3be/2ba duplex",,$1495,https://bend.craigslist.org/apa/d/hubbard-spacious-well-maintained-3be/7082895170.html
Home for Rent,,$1900,https://bend.craigslist.org/apa/d/bend-home-for-rent/7099779109.html
"Spacious, well-maintained 3be/2ba duplex",,$1495,https://bend.craigslist.org/apa/d/hubbard-spacious-well-maintained-3be/7082889711.html
VERY RARE! 3 bedroom/2 bath w/laminate floors & gas fireplace,,$1815,https://bend.craigslist.org/apa/d/bend-very-rare-3-bedroom-2-bath/7096100973.html
Home for Rent,,$1495,https://bend.craigslist.org/apa/d/redmond-home-for-rent/7099756417.html
Brand new 3/bed 2/bath single level home-NE 5th,,$1775,https://bend.craigslist.org/apa/d/redmond-brand-new-3-bed-2-bath-single/7099729744.html
Centrally located 3/bed 2/bath single story - NE 7th,,$1525,https://bend.craigslist.org/apa/d/bend-centrally-located-3-bed-2-bath/7099726109.html
2854 SW Peridot - 3 Bedroom Duplex,,$1275,https://bend.craigslist.org/apa/d/redmond-2854-sw-peridot-3-bedroom-duplex/7099703159.html
Spacious 3 Bedroom 2 Bathroom Apartments!!,,$1725,https://yakima.craigslist.org/apa/d/kittitas-spacious-3-bedroom-2-bathroom/7099832733.html
"A deal this good doesn't come around every day. 3 Bed, 2 Bath!",,$425,https://yakima.craigslist.org/apa/d/yakima-deal-this-good-doesnt-come/7099702259.html
